
------------------------------------------------------------------------------
Elevation report for the watershed      31 May 2020 10.33

------------------------------------------------------------------------------

Statistics: All elevations reported in meters
-----------

  Minimum elevation: 1789
  Maximum elevation: 2045
     Mean elevation: 1894.10
 Standard deviation: 60.65

              Elevation          % area up to elevation    % area of watershed
                1879                    20.14                     1.21
                1880                    21.43                     1.29
                1881                    22.25                     0.83
                1882                    22.84                     0.58
                1883                    23.57                     0.73
                1884                    24.25                     0.68
                1885                    25.05                     0.80
                1886                    25.87                     0.83
                1887                    26.82                     0.95
                1888                    27.87                     1.04
                1889                    28.81                     0.95
                1890                    29.59                     0.78
                1891                    30.39                     0.80
                1892                    31.54                     1.14
                1893                    32.41                     0.87
                1894                    33.43                     1.02
                1895                    34.60                     1.17
                1896                    35.59                     1.00
                1897                    36.71                     1.12
                1898                    37.61                     0.90
                1899                    38.80                     1.19
                1900                    39.75                     0.95
                1901                    40.74                     1.00
                1902                    41.55                     0.80
                1903                    42.44                     0.90
                1904                    43.59                     1.14
                1905                    44.87                     1.29
                1906                    46.14                     1.26
                1907                    47.11                     0.97
                1908                    47.93                     0.83
                1909                    48.93                     1.00
                1910                    50.05                     1.12
                1911                    51.04                     1.00
                1912                    52.31                     1.26
                1913                    53.33                     1.02
                1914                    54.40                     1.07
                1915                    55.05                     0.66
                1916                    56.24                     1.19
                1917                    57.24                     1.00
                1918                    58.21                     0.97
                1919                    59.67                     1.46
                1920                    60.52                     0.85
                1921                    61.30                     0.78
                1922                    62.10                     0.80
                1923                    63.07                     0.97
                1924                    63.99                     0.92
                1925                    64.82                     0.83
                1926                    65.50                     0.68
                1927                    66.33                     0.83
                1928                    67.13                     0.80
                1929                    67.83                     0.70
                1930                    68.49                     0.66
                1931                    69.14                     0.66
                1932                    69.97                     0.83
                1933                    70.60                     0.63
                1934                    71.38                     0.78
                1935                    72.11                     0.73
                1936                    72.62                     0.51
                1937                    73.28                     0.66
                1938                    74.03                     0.75
                1939                    74.73                     0.70
                1940                    75.46                     0.73
                1941                    76.02                     0.56
                1942                    76.70                     0.68
                1943                    77.58                     0.87
                1944                    78.28                     0.70
                1945                    78.96                     0.68
                1946                    79.71                     0.75
                1947                    80.42                     0.70
                1948                    81.03                     0.61
                1949                    81.73                     0.70
                1950                    82.39                     0.66
                1951                    82.87                     0.49
                1952                    83.53                     0.66
                1953                    84.21                     0.68
                1954                    84.84                     0.63
                1955                    85.42                     0.58
                1956                    86.20                     0.78
                1957                    86.71                     0.51
                1958                    87.37                     0.66
                1959                    88.10                     0.73
                1960                    88.80                     0.70
                1961                    89.80                     1.00
                1962                    90.74                     0.95
                1963                    91.76                     1.02
                1964                    92.23                     0.46
                1965                    93.15                     0.92
                1966                    93.90                     0.75
                1967                    94.53                     0.63
                1968                    94.83                     0.29
                1969                    95.17                     0.34
                1970                    95.48                     0.32
                1971                    95.65                     0.17
                1972                    95.80                     0.15
                1973                    96.04                     0.24
                1974                    96.31                     0.27
                1975                    96.48                     0.17
                1976                    96.72                     0.24
                1977                    97.23                     0.51
                1978                    97.59                     0.36
                1979                    97.79                     0.19
                1980                    98.01                     0.22
                1981                    98.23                     0.22
                1982                    98.52                     0.29
                1983                    98.62                     0.10
                1984                    98.79                     0.17
                1985                    98.83                     0.05
                1986                    98.86                     0.02
                1987                    98.93                     0.07
                1988                    98.98                     0.05
                1989                    99.00                     0.02
                1990                    99.13                     0.12
                1991                    99.13                     0.00
                1992                    99.15                     0.02
                1993                    99.15                     0.00
                1994                    99.17                     0.02
                1995                    99.20                     0.02
                1996                    99.22                     0.02
                1997                    99.27                     0.05
                1998                    99.34                     0.07
                1999                    99.34                     0.00
                2000                    99.37                     0.02
                2001                    99.39                     0.02
                2002                    99.39                     0.00
                2003                    99.39                     0.00
                2004                    99.39                     0.00
                2005                    99.39                     0.00
                2006                    99.42                     0.02
                2007                    99.42                     0.00
                2008                    99.47                     0.05
                2009                    99.49                     0.02
                2010                    99.49                     0.00
                2011                    99.51                     0.02
                2012                    99.56                     0.05
                2013                    99.56                     0.00
                2014                    99.56                     0.00
                2015                    99.59                     0.02
                2016                    99.59                     0.00
                2017                    99.61                     0.02
                2018                    99.61                     0.00
                2019                    99.61                     0.00
                2020                    99.61                     0.00
                2021                    99.61                     0.00
                2022                    99.71                     0.10
                2023                    99.73                     0.02
                2024                    99.73                     0.00
                2025                    99.73                     0.00
                2026                    99.73                     0.00
                2027                    99.76                     0.02
                2028                    99.76                     0.00
                2029                    99.76                     0.00
                2030                    99.78                     0.02
                2031                    99.83                     0.05
                2032                    99.85                     0.02
                2033                    99.85                     0.00
                2034                    99.88                     0.02
                2035                    99.90                     0.02
                2036                    99.93                     0.02
                2037                    99.93                     0.00
                2038                    99.93                     0.00
                2039                    99.95                     0.02
                2040                    99.95                     0.00
                2041                    99.95                     0.00
                2042                    99.95                     0.00
                2043                    99.98                     0.02
                2044                    99.98                     0.00
                2045                   100.00                     0.02

------------------------------------------------------------------------------
Subbasin 3

Statistics: All elevations reported in meters
-----------

  Minimum elevation: 1798
  Maximum elevation: 1956
     Mean elevation: 1859.11
 Standard deviation: 37.21

              Elevation          % area up to elevation    % area of subbasin
                1798                     0.10                     0.10
                1799                     0.52                     0.42
                1800                     1.28                     0.76
                1801                     2.41                     1.12
                1802                     3.51                     1.10
                1803                     4.58                     1.07
                1804                     5.55                     0.97
                1805                     6.77                     1.23
                1806                     8.06                     1.28
                1807                     9.08                     1.02
                1808                    10.10                     1.02
                1809                    10.78                     0.68
                1810                    11.69                     0.92
                1811                    12.56                     0.86
                1812                    13.00                     0.44
                1813                    13.39                     0.39
                1814                    13.97                     0.58
                1815                    14.67                     0.71
                1816                    15.20                     0.52
                1817                    15.83                     0.63
                1818                    16.37                     0.55
                1819                    16.95                     0.58
                1820                    17.79                     0.84
                1821                    18.60                     0.81
                1822                    19.78                     1.18
                1823                    20.69                     0.92
                1824                    21.40                     0.71
                1825                    22.26                     0.86
                1826                    23.04                     0.78
                1827                    23.83                     0.78
                1828                    24.72                     0.89
                1829                    25.24                     0.52
                1830                    25.87                     0.63
                1831                    26.89                     1.02
                1832                    27.67                     0.78
                1833                    28.46                     0.78
                1834                    29.30                     0.84
                1835                    30.47                     1.18
                1836                    31.36                     0.89
                1837                    32.17                     0.81
                1838                    33.01                     0.84
                1839                    33.80                     0.78
                1840                    34.58                     0.78
                1841                    35.57                     0.99
                1842                    36.41                     0.84
                1843                    37.17                     0.76
                1844                    38.11                     0.94
                1845                    39.05                     0.94
                1846                    39.99                     0.94
                1847                    40.86                     0.86
                1848                    41.64                     0.78
                1849                    42.69                     1.05
                1850                    43.60                     0.92
                1851                    44.73                     1.12
                1852                    45.59                     0.86
                1853                    46.61                     1.02
                1854                    47.45                     0.84
                1855                    48.39                     0.94
                1856                    49.33                     0.94
                1857                    50.14                     0.81
                1858                    51.11                     0.97
                1859                    51.92                     0.81
                1860                    52.81                     0.89
                1861                    54.07                     1.26
                1862                    55.22                     1.15
                1863                    55.95                     0.73
                1864                    56.60                     0.65
                1865                    57.28                     0.68
                1866                    58.38                     1.10
                1867                    59.22                     0.84
                1868                    59.98                     0.76
                1869                    60.69                     0.71
                1870                    61.63                     0.94
                1871                    63.04                     1.41
                1872                    63.85                     0.81
                1873                    64.74                     0.89
                1874                    65.47                     0.73
                1875                    66.34                     0.86
                1876                    67.22                     0.89
                1877                    68.04                     0.81
                1878                    69.21                     1.18
                1879                    70.36                     1.15
                1880                    71.46                     1.10
                1881                    72.46                     0.99
                1882                    73.40                     0.94
                1883                    74.42                     1.02
                1884                    75.02                     0.60
                1885                    75.91                     0.89
                1886                    76.75                     0.84
                1887                    77.43                     0.68
                1888                    78.26                     0.84
                1889                    79.31                     1.05
                1890                    80.15                     0.84
                1891                    80.77                     0.63
                1892                    81.38                     0.60
                1893                    81.79                     0.42
                1894                    82.34                     0.55
                1895                    83.02                     0.68
                1896                    83.49                     0.47
                1897                    84.15                     0.65
                1898                    84.59                     0.44
                1899                    85.17                     0.58
                1900                    85.59                     0.42
                1901                    86.08                     0.50
                1902                    86.74                     0.65
                1903                    87.13                     0.39
                1904                    87.58                     0.44
                1905                    88.05                     0.47
                1906                    88.49                     0.44
                1907                    88.96                     0.47
                1908                    89.41                     0.44
                1909                    89.77                     0.37
                1910                    90.16                     0.39
                1911                    90.43                     0.26
                1912                    90.79                     0.37
                1913                    91.26                     0.47
                1914                    91.55                     0.29
                1915                    91.79                     0.24
                1916                    92.10                     0.31
                1917                    92.18                     0.08
                1918                    92.39                     0.21
                1919                    92.86                     0.47
