 Trial_Robit               SWAT+ Oct 10 2019    MODULAR Rev 2019.60.1                                     
   jday   mon   day    yr   unit  gis_id  name                       flo          dep_wt            stor          rchrg           seep          revap         no3_st           min           orgn           orgp         rchrgn          nloss          no3gw        seepno3        flo_cha        flo_res         flo_ls
                                                                       mm              m              mm             mm             mm             mm        kg/ha_N            kg        kg/ha_N        kg/ha_P        kg/ha_N        kg/ha_N        kg/ha_N             kg            m^3            m^3            m^3
   365    12    31  1995       8      80  aqu80                     0.000          5.000        250.011         22.079          1.104         20.935         12.093          0.000          0.000          0.000          2.406          0.000          0.000          0.054          0.000          0.000          0.000
   365    12    31  1995       9      90  aqu90                     0.000          4.999        250.025         25.140          1.257         23.812         13.158          0.000          0.000          0.000          2.577          0.000          0.000          0.067          0.000          0.000          0.000
   365    12    31  1995      10       7  aqu_deep7                 0.000         19.811       2405.667          1.376          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
   366    12    31  1996       1      10  aqu10                     0.000          4.941        252.967         33.921          1.696         40.212         23.288          0.000          0.000          0.000          3.554          0.000          0.000          0.157          0.000          0.000          0.000
   366    12    31  1996       2      20  aqu20                     0.000          4.999        250.027         27.149          1.357         25.823         18.568          0.000          0.000          0.000          2.813          0.000          0.000          0.101          0.000          0.000          0.000
   366    12    31  1996       3      30  aqu30                     0.000          5.000        250.011         24.698          1.235         23.463         17.015          0.000          0.000          0.000          2.556          0.000          0.000          0.084          0.000          0.000          0.000
   366    12    31  1996       4      40  aqu40                     0.000          4.998        250.077         30.198          1.510         28.648         20.508          0.000          0.000          0.000          3.111          0.000          0.000          0.124          0.000          0.000          0.000
   366    12    31  1996       5      50  aqu50                     0.000          4.183        290.844         40.682          2.034         40.212         26.981          0.000          0.000          0.000          4.041          0.000          0.000          0.189          0.000          0.000          0.000
   366    12    31  1996       6      60  aqu60                     0.000          5.000        249.988         17.212          0.861         16.461         12.571          0.000          0.000          0.000          1.805          0.000          0.000          0.044          0.000          0.000          0.000
   366    12    31  1996       7      70  aqu70                     0.000          3.884        305.793         41.888          2.094         40.212         23.575          0.000          0.000          0.000          3.339          0.000          0.000          0.162          0.000          0.000          0.000
   366    12    31  1996       8      80  aqu80                     0.000          5.000        250.002         21.583          1.079         20.561         14.381          0.000          0.000          0.000          2.164          0.000          0.000          0.062          0.000          0.000          0.000
   366    12    31  1996       9      90  aqu90                     0.000          4.999        250.025         24.544          1.227         23.354         15.598          0.000          0.000          0.000          2.361          0.000          0.000          0.077          0.000          0.000          0.000
   366    12    31  1996      10       7  aqu_deep7                 0.000         19.765       2407.050          1.350          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  1997       1      10  aqu10                     0.000          4.996        250.188         33.460          1.673         32.035         26.506          0.000          0.000          0.000          3.327          0.000          0.000          0.178          0.000          0.000          0.000
   365    12    31  1997       2      20  aqu20                     0.000          5.000        250.024         27.061          1.353         25.688         21.185          0.000          0.000          0.000          2.770          0.000          0.000          0.115          0.000          0.000          0.000
   365    12    31  1997       3      30  aqu30                     0.000          5.000        250.013         24.664          1.233         23.423         19.417          0.000          0.000          0.000          2.536          0.000          0.000          0.096          0.000          0.000          0.000
   365    12    31  1997       4      40  aqu40                     0.000          4.999        250.052         29.874          1.494         28.375         23.365          0.000          0.000          0.000          2.970          0.000          0.000          0.140          0.000          0.000          0.000
   365    12    31  1997       5      50  aqu50                     0.000          4.211        289.431         40.230          2.012         39.427         30.606          0.000          0.000          0.000          3.708          0.000          0.000          0.213          0.000          0.000          0.000
   365    12    31  1997       6      60  aqu60                     0.000          5.000        249.991         17.693          0.885         16.710         14.359          0.000          0.000          0.000          2.024          0.000          0.000          0.052          0.000          0.000          0.000
   365    12    31  1997       7      70  aqu70                     0.000          3.887        305.628         41.588          2.079         39.427         26.588          0.000          0.000          0.000          3.069          0.000          0.000          0.181          0.000          0.000          0.000
   365    12    31  1997       8      80  aqu80                     0.000          5.000        250.005         21.546          1.077         20.392         16.452          0.000          0.000          0.000          2.210          0.000          0.000          0.072          0.000          0.000          0.000
   365    12    31  1997       9      90  aqu90                     0.000          5.000        250.019         24.487          1.224         23.288         17.825          0.000          0.000          0.000          2.304          0.000          0.000          0.088          0.000          0.000          0.000
   365    12    31  1997      10       7  aqu_deep7                 0.000         19.721       2408.371          1.344          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  1998       1      10  aqu10                     0.000          4.997        250.142         33.143          1.657         31.498         29.553          0.000          0.000          0.000          3.080          0.000          0.000          0.196          0.000          0.000          0.000
   365    12    31  1998       2      20  aqu20                     0.000          5.000        250.021         26.589          1.329         25.293         23.734          0.000          0.000          0.000          2.484          0.000          0.000          0.127          0.000          0.000          0.000
   365    12    31  1998       3      30  aqu30                     0.000          5.000        250.013         23.983          1.199         22.764         21.747          0.000          0.000          0.000          2.253          0.000          0.000          0.105          0.000          0.000          0.000
   365    12    31  1998       4      40  aqu40                     0.000          4.999        250.043         29.357          1.468         27.928         26.089          0.000          0.000          0.000          2.707          0.000          0.000          0.154          0.000          0.000          0.000
   365    12    31  1998       5      50  aqu50                     0.000          4.240        287.985         40.152          2.008         39.673         33.979          0.000          0.000          0.000          3.446          0.000          0.000          0.237          0.000          0.000          0.000
   365    12    31  1998       6      60  aqu60                     0.000          5.000        249.987         16.589          0.829         15.829         16.196          0.000          0.000          0.000          1.623          0.000          0.000          0.054          0.000          0.000          0.000
   365    12    31  1998       7      70  aqu70                     0.000          3.891        305.454         41.506          2.075         39.673         29.343          0.000          0.000          0.000          2.813          0.000          0.000          0.200          0.000          0.000          0.000
   365    12    31  1998       8      80  aqu80                     0.000          5.000        250.000         20.587          1.029         19.551         18.473          0.000          0.000          0.000          1.895          0.000          0.000          0.076          0.000          0.000          0.000
   365    12    31  1998       9      90  aqu90                     0.000          5.000        250.014         23.764          1.188         22.578         19.940          0.000          0.000          0.000          2.086          0.000          0.000          0.095          0.000          0.000          0.000
   365    12    31  1998      10       7  aqu_deep7                 0.000         19.676       2409.722          1.314          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  1999       1      10  aqu10                     0.000          4.991        250.427         34.716          1.736         31.886         32.456          0.000          0.000          0.000          3.193          0.000          0.000          0.226          0.000          0.000          0.000
   365    12    31  1999       2      20  aqu20                     0.000          4.998        250.124         28.786          1.439         27.311         26.154          0.000          0.000          0.000          2.711          0.000          0.000          0.151          0.000          0.000          0.000
   365    12    31  1999       3      30  aqu30                     0.000          4.998        250.077         26.672          1.334         25.370         23.979          0.000          0.000          0.000          2.550          0.000          0.000          0.129          0.000          0.000          0.000
   365    12    31  1999       4      40  aqu40                     0.000          4.995        250.247         31.359          1.568         29.490         28.694          0.000          0.000          0.000          2.909          0.000          0.000          0.181          0.000          0.000          0.000
   365    12    31  1999       5      50  aqu50                     0.000          4.264        286.780         40.994          2.050         39.540         37.129          0.000          0.000          0.000          3.368          0.000          0.000          0.266          0.000          0.000          0.000
   365    12    31  1999       6      60  aqu60                     0.000          5.000        250.008         20.116          1.006         19.056         17.907          0.000          0.000          0.000          2.084          0.000          0.000          0.073          0.000          0.000          0.000
   365    12    31  1999       7      70  aqu70                     0.000          3.890        305.494         42.202          2.110         39.540         31.872          0.000          0.000          0.000          2.662          0.000          0.000          0.220          0.000          0.000          0.000
   365    12    31  1999       8      80  aqu80                     0.000          4.999        250.034         23.637          1.182         22.443         20.412          0.000          0.000          0.000          2.301          0.000          0.000          0.097          0.000          0.000          0.000
   365    12    31  1999       9      90  aqu90                     0.000          4.998        250.098         26.421          1.321         25.073         22.017          0.000          0.000          0.000          2.378          0.000          0.000          0.117          0.000          0.000          0.000
   365    12    31  1999      10       7  aqu_deep7                 0.000         19.632       2411.054          1.432          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
   366    12    31  2000       1      10  aqu10                     0.000          4.992        250.421         35.806          1.790         34.288         35.360          0.000          0.000          0.000          2.905          0.000          0.000          0.253          0.000          0.000          0.000
   366    12    31  2000       2      20  aqu20                     0.000          4.999        250.034         29.507          1.475         28.002         28.601          0.000          0.000          0.000          2.326          0.000          0.000          0.169          0.000          0.000          0.000
