 Trial_Robit               SWAT+ Oct 10 2019    MODULAR Rev 2019.60.1                                     
  jday   mon   day    yr    unit  gis_id  name                  precip     snofall      snomlt    surq_gen        latq    wateryld        perc          et       tloss      eplant       esoil   surq_cont          cn          sw      sw_300     snopack         pet       qtile         irr  surq_runon  latq_runon    overbank    surq_cha    surq_res     surq_ls    latq_cha    latq_res     latq_ls
                                                                  mm            mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm         ---          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm
   365    12    31  1991      58      58  hru58                604.511       0.000       0.000     119.335      77.148     196.483      13.012     325.317       0.000      66.864     258.453     119.335      87.862     180.393       8.857       0.000    2061.482       0.000       0.000       0.000       0.000       0.000     119.335       0.000       0.000      77.148       0.000       0.000
   365    12    31  1991      59      59  hru59                604.511       0.000       0.000     119.854      75.621     195.474      13.170     325.266       0.000      66.870     258.396     119.854      87.909     181.027       8.857       0.000    2061.854       0.000       0.000       0.000       0.000       0.000     119.854       0.000       0.000      75.621       0.000       0.000
   365    12    31  1991      60      60  hru60                604.511       0.000       0.000     142.225      10.001     152.226      19.431     324.585       0.000      67.172     257.413     142.225      89.644     206.160       8.844       0.000    2063.139       0.000       0.000       0.000       0.000       0.000     142.225       0.000       0.000      10.001       0.000       0.000
   365    12    31  1991      61      61  hru61                604.511       0.000       0.000     141.841      10.593     152.434      19.340     324.688       0.000      67.179     257.509     141.841      89.620     205.794       8.844       0.000    2062.418       0.000       0.000       0.000       0.000       0.000     141.841       0.000       0.000      10.593       0.000       0.000
   365    12    31  1991      62      62  hru62                604.511       0.000       0.000     142.058      10.192     152.250      19.394     324.672       0.000      67.180     257.492     142.058      89.634     206.011       8.844       0.000    2062.492       0.000       0.000       0.000       0.000       0.000     142.058       0.000       0.000      10.192       0.000       0.000
   365    12    31  1991      63      63  hru63                604.511       0.000       0.000     141.040      11.994     153.034      19.142     324.805       0.000      67.182     257.623     141.040      89.567     205.002       8.845       0.000    2061.689       0.000       0.000       0.000       0.000       0.000     141.040       0.000       0.000      11.994       0.000       0.000
   365    12    31  1991      64      64  hru64                604.511       0.000       0.000     142.310       9.618     151.927      19.461     324.724       0.000      67.188     257.536     142.310      89.651     206.281       8.844       0.000    2062.020       0.000       0.000       0.000       0.000       0.000     142.310       0.000       0.000       9.618       0.000       0.000
   365    12    31  1991      65      65  hru65                604.511       0.000       0.000     139.888      14.179     154.067      18.849     324.876       0.000      67.175     257.701     139.888      89.490     203.829       8.847       0.000    2061.409       0.000       0.000       0.000       0.000       0.000     139.888       0.000       0.000      14.179       0.000       0.000
   365    12    31  1991      66      66  hru66                604.511       0.000       0.000     144.904       3.382     148.286      20.091     324.659       0.000      67.210     257.448     144.904      89.821     208.878       8.850       0.000    2061.877       0.000       0.000       0.000       0.000       0.000     144.904       0.000       0.000       3.382       0.000       0.000
   365    12    31  1991      67      67  hru67                604.511       0.000       0.000     140.482      13.076     153.558      18.999     324.822       0.000      67.177     257.645     140.482      89.530     204.431       8.846       0.000    2061.696       0.000       0.000       0.000       0.000       0.000     140.482       0.000       0.000      13.076       0.000       0.000
   365    12    31  1991      68      68  hru68                604.511       0.000       0.000     122.793      66.274     189.067      14.082     325.394       0.000      66.950     258.444     122.793      88.175     184.698       8.858       0.000    2060.581       0.000       0.000       0.000       0.000       0.000     122.793       0.000       0.000      66.274       0.000       0.000
   365    12    31  1991      69      69  hru69                604.511       0.000       0.000     126.836      54.378     181.214      15.281     325.282       0.000      67.018     258.263     126.836      88.516     189.512       8.857       0.000    2060.908       0.000       0.000       0.000       0.000       0.000     126.836       0.000       0.000      54.378       0.000       0.000
   365    12    31  1991      70      70  hru70                604.511       0.000       0.000     127.290      53.036     180.326      15.413     325.283       0.000      67.027     258.257     127.290      88.553     190.045       8.857       0.000    2060.821       0.000       0.000       0.000       0.000       0.000     127.290       0.000       0.000      53.036       0.000       0.000
   365    12    31  1991      71      71  hru71                604.511       0.000       0.000     126.416      55.323     181.738      15.167     325.426       0.000      67.026     258.400     126.416      88.484     189.058       8.857       0.000    2059.837       0.000       0.000       0.000       0.000       0.000     126.416       0.000       0.000      55.323       0.000       0.000
   365    12    31  1991      72      72  hru72                604.511       0.000       0.000     125.845      56.964     182.809      15.001     325.451       0.000      67.018     258.433     125.845      88.437     188.390       8.857       0.000    2059.729       0.000       0.000       0.000       0.000       0.000     125.845       0.000       0.000      56.964       0.000       0.000
   365    12    31  1991      73      73  hru73                604.511       0.000       0.000     146.726       0.992     147.718      20.487     324.270       0.000      67.187     257.083     146.726      89.932     210.590       8.867       0.000    2064.466       0.000       0.000       0.000       0.000       0.000     146.726       0.000       0.000       0.992       0.000       0.000
   365    12    31  1991      74      74  hru74                604.511       0.000       0.000     145.582       2.823     148.405      20.230     324.314       0.000      67.180     257.134     145.582      89.860     209.469       8.855       0.000    2064.422       0.000       0.000       0.000       0.000       0.000     145.582       0.000       0.000       2.823       0.000       0.000
   365    12    31  1991      75      75  hru75                604.511       0.000       0.000     225.451       1.062     226.513      30.757     257.253       0.000       0.000     257.253     225.451      93.879     220.553      11.923       0.000    2064.599       0.000       0.000       0.000       0.000       0.000     225.451       0.000       0.000       1.062       0.000       0.000
   365    12    31  1991      76      76  hru76                604.511       0.000       0.000     121.565      70.704     192.270      13.685     325.063       0.000      66.886     258.177     121.565      88.059     183.092       8.857       0.000    2063.311       0.000       0.000       0.000       0.000       0.000     121.565       0.000       0.000      70.704       0.000       0.000
   365    12    31  1991      77      77  hru77                604.511       0.000       0.000     119.934      75.354     195.288      13.195     325.274       0.000      66.873     258.401     119.934      87.916     181.130       8.857       0.000    2061.784       0.000       0.000       0.000       0.000       0.000     119.934       0.000       0.000      75.354       0.000       0.000
   365    12    31  1991      78      78  hru78                604.511       0.000       0.000      38.891      58.923      97.814      10.574     385.557       0.000     280.630     104.928      38.891      76.335     130.927       6.045       0.000    2062.001       0.000       0.000       0.000       0.000       0.000      38.891       0.000       0.000      58.923       0.000       0.000
