 Trial_Robit               SWAT+ Oct 10 2019    MODULAR Rev 2019.60.1                                     
   jday   mon   day    yr   unit  gis_id  name                    flo_in          aqu_in          flo_out          peakr         sed_in        sed_out         washld          bedld            dep        deg_btm       deg_bank         hc_sed          width          depth          slope        deg_btm       deg_bank         hc_len
                                                                    m^3/s           m^3/s           m^3/s          m^3/s           tons           tons           tons           tons           tons           tons           tons           tons              m              m            m/m              m              m              m
   365    12    31  1991      32      32  cha32                0.4994E+01     0.0000E+00     0.4994E+01     0.2627E+01     0.1241E-04     0.1516E+02     0.6205E-05     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1516E+02     0.2137E+01     0.1820E+00     0.1000E-04     0.0000E+00     0.0000E+00     0.8900E-01
   365    12    31  1991      33      33  cha33                0.1380E+01     0.0000E+00     0.1380E+01     0.7259E+00     0.4973E-05     0.2373E+01     0.2486E-05     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2373E+01     0.1016E+01     0.1109E+00     0.1000E-04     0.0000E+00     0.0000E+00     0.4813E-01
   365    12    31  1991      34      34  cha34                0.2925E+01     0.0000E+00     0.2925E+01     0.1538E+01     0.9469E-05     0.1298E+03     0.4735E-05     0.4735E-05    -0.1221E+03     0.1221E+03     0.0000E+00     0.7774E+01     0.1594E+01     0.2420E+00     0.1433E-01     0.4352E-01     0.0000E+00     0.7438E-01
   365    12    31  1991      35      35  cha35                0.4389E+01     0.0000E+00     0.4389E+01     0.2309E+01     0.4074E-04     0.3493E+04     0.2037E-04     0.2037E-04    -0.3481E+04     0.3481E+04     0.0000E+00     0.1239E+02     0.1973E+01     0.1728E+01     0.5587E-01     0.6515E+00     0.0000E+00     0.8309E-01
   365    12    31  1991      36      36  cha36                0.9769E+00     0.0000E+00     0.9768E+00     0.5139E+00     0.1607E-04     0.1531E+01     0.8036E-05     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1531E+01     0.8311E+00     0.9697E-01     0.1000E-04     0.0000E+00     0.0000E+00     0.4337E-01
   365    12    31  1991      37      37  cha37                0.4921E+00     0.0000E+00     0.4921E+00     0.2589E+00     0.2478E-04     0.7402E+03     0.1239E-04     0.1239E-04    -0.7397E+03     0.7397E+03     0.0000E+00     0.5093E+00     0.5372E+00     0.1973E+01     0.1391E+00     0.7709E+00     0.0000E+00     0.2986E-01
   365    12    31  1991      38      38  cha38                0.5420E+00     0.0000E+00     0.5420E+00     0.2851E+00     0.4478E-04     0.4133E+03     0.2239E-04     0.2239E-04    -0.4125E+03     0.4125E+03     0.0000E+00     0.7990E+00     0.6339E+00     0.9198E+00     0.1315E+00     0.4102E+00     0.0000E+00     0.3555E-01
   365    12    31  1991      39      39  cha39                0.1898E+00     0.0000E+00     0.1898E+00     0.9983E-01     0.1407E-04     0.2785E+01     0.7033E-05     0.7033E-05    -0.2620E+01     0.2620E+01     0.0000E+00     0.1655E+00     0.3377E+00     0.7319E-01     0.2747E-01     0.1467E-01     0.0000E+00     0.2103E-01
   365    12    31  1991      40      40  cha40                0.7474E+00     0.0000E+00     0.7473E+00     0.3931E+00     0.5082E-05     0.1639E+03     0.2541E-05     0.2541E-05    -0.1629E+03     0.1629E+03     0.0000E+00     0.9878E+00     0.6988E+00     0.5755E+00     0.4318E-01     0.2204E+00     0.0000E+00     0.3736E-01
   365    12    31  1991      41      41  cha41                0.2960E+00     0.0000E+00     0.2960E+00     0.1557E+00     0.2635E-04     0.3027E+03     0.1317E-04     0.1317E-04    -0.3023E+03     0.3023E+03     0.0000E+00     0.3202E+00     0.4400E+00     0.1804E+01     0.2356E+00     0.7612E+00     0.0000E+00     0.2618E-01
