 TX_LG_GULLY               SWAT+ Dec 8  2020    MODULAR Rev 2020.60.5.1                                   
  jday,   mon,   day,    yr,   unit , gis_id , name           ,      sedyld,     sedorgn,     sedorgp,     surqno3,     lat3no3,    surqsolp,        usle,      sedmin,     tileno3
      ,      ,      ,      ,        ,        ,                ,         tha,        kgha,        kgha,        kgha,        kgha,        kgha,        tons,        ----,        ----
76,3,16,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
77,3,17,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
78,3,18,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
79,3,19,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
80,3,20,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
81,3,21,1996,1,1,bench           ,0.480,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
82,3,22,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
83,3,23,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
84,3,24,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
85,3,25,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
86,3,26,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
87,3,27,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
88,3,28,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
89,3,29,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
90,3,30,1996,1,1,bench           ,0.365E-3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
91,3,31,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
92,4,1,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
93,4,2,1996,1,1,bench           ,0.382,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
94,4,3,1996,1,1,bench           ,0.138E-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
95,4,4,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
96,4,5,1996,1,1,bench           ,0.263,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
97,4,6,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
98,4,7,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
99,4,8,1996,1,1,bench           ,0.501E-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100,4,9,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
101,4,10,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
102,4,11,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
103,4,12,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
104,4,13,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
105,4,14,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
106,4,15,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
107,4,16,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
108,4,17,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
109,4,18,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
110,4,19,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
111,4,20,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
112,4,21,1996,1,1,bench           ,0.147,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
113,4,22,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
114,4,23,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
115,4,24,1996,1,1,bench           ,0.240E-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
116,4,25,1996,1,1,bench           ,0.229E-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
117,4,26,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
118,4,27,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
119,4,28,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
120,4,29,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
121,4,30,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
122,5,1,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
123,5,2,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
124,5,3,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
125,5,4,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
126,5,5,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
127,5,6,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
128,5,7,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
129,5,8,1996,1,1,bench           ,0.296E-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
130,5,9,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
131,5,10,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
132,5,11,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
133,5,12,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
134,5,13,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
135,5,14,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
136,5,15,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
137,5,16,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
138,5,17,1996,1,1,bench           ,0.669E-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
139,5,18,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
140,5,19,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
141,5,20,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
142,5,21,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
143,5,22,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
144,5,23,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
145,5,24,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
146,5,25,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
147,5,26,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
148,5,27,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
149,5,28,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
150,5,29,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
151,5,30,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
152,5,31,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
153,6,1,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
154,6,2,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
155,6,3,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
156,6,4,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
157,6,5,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
158,6,6,1996,1,1,bench           ,0.175,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
159,6,7,1996,1,1,bench           ,0.649E-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
160,6,8,1996,1,1,bench           ,0.145E-4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
161,6,9,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
162,6,10,1996,1,1,bench           ,0.932E-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
163,6,11,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
164,6,12,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
165,6,13,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
166,6,14,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
167,6,15,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
168,6,16,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
169,6,17,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
170,6,18,1996,1,1,bench           ,0.445,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
171,6,19,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
172,6,20,1996,1,1,bench           ,0.211,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
173,6,21,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
174,6,22,1996,1,1,bench           ,0.149E-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
175,6,23,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
176,6,24,1996,1,1,bench           ,0.811E-2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
177,6,25,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
178,6,26,1996,1,1,bench           ,0.553E-2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
179,6,27,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
180,6,28,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
181,6,29,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
182,6,30,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
183,7,1,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
184,7,2,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
